path,text,duration
files/clips/common_voice_en_37476269.mp3,this led to both the red terror and the white terror,4.896
files/clips/common_voice_en_37740889.mp3,paper wine labels have long been collected,3.168
files/clips/common_voice_en_37607972.mp3,the number of chime sets matches the number of quarter hours that have passed,5.976
files/clips/common_voice_en_37437567.mp3,the atbara flows only while there is rain in ethiopia and dries very rapidly,8.208
files/clips/common_voice_en_37288403.mp3,katsande and her son were accused of voter intimidation,4.824
files/clips/common_voice_en_37306834.mp3,data was stored in bigendian format,3.9960000000000004
files/clips/common_voice_en_37389720.mp3,gluck is grandmother to actress stephanie zimbalist,4.32
files/clips/common_voice_en_37614458.mp3,she has written about it in the sun and in pensions week,4.356
files/clips/common_voice_en_37433497.mp3,a basketball was too heavy while the basketball bladder was too light,5.327999999999999
files/clips/common_voice_en_38006516.mp3,todman was born and raised in the united states virgin islands,6.4079999999999995
files/clips/common_voice_en_37506916.mp3,it was the first and last time hitler watched a football match,5.327999999999999
files/clips/common_voice_en_37463815.mp3,the book contains coleridges celebrated and vexed distinction between imagination and fancy,6.5520000000000005
files/clips/common_voice_en_37511524.mp3,mech looks at hightech policing in the future,5.327999999999999
files/clips/common_voice_en_37475392.mp3,he gives you confidence,3.924
files/clips/common_voice_en_37617995.mp3,morgan received figure along with two other horses as payment of a debt,6.803999999999999
files/clips/common_voice_en_37543489.mp3,amateur champion who went on to play the champions tour,5.436
files/clips/common_voice_en_37364201.mp3,our ability to do good things for people,5.0760000000000005
files/clips/common_voice_en_37473806.mp3,the band made some recordings with producer tom dowd overseeing but they were scrapped,6.12
files/clips/common_voice_en_37506196.mp3,eventually koss dominated the headphone market competing mainly with telex,7.452000000000001
files/clips/common_voice_en_37673682.mp3,different systems define different sets of digraphs and trigraphs as described below,6.3
files/clips/common_voice_en_37402787.mp3,carlos barbosa were the defending champions,5.327999999999999
files/clips/common_voice_en_37406712.mp3,tulsita is served by the pettus independent school district,4.248
files/clips/common_voice_en_37937553.mp3,the front sight is winged and incorporates a bayonet lug,5.688
files/clips/common_voice_en_37931440.mp3,the parallels to the french resistance and the nazi occupation are clear however,7.2
files/clips/common_voice_en_37800525.mp3,most of bosquets best sellers were published by covered bridge press,5.4
files/clips/common_voice_en_37527521.mp3,indiegames dot com is gamasutras sister site dedicated to reporting on indie games,6.768
files/clips/common_voice_en_37482660.mp3,this allowed for what today is known as multimedia experiences,6.5520000000000005
files/clips/common_voice_en_37805700.mp3,he worked in financial institutions and banking in new jersey,4.248
files/clips/common_voice_en_37984758.mp3,porcelain and stoneware are ideal for displaying the surface patterns obtained through saggar firing,7.272
files/clips/common_voice_en_37396012.mp3,mary frierson was born in memphis tennessee,4.716
files/clips/common_voice_en_37789528.mp3,to the east of the railway station lies a community centre and primary school,5.8320000000000025
files/clips/common_voice_en_38015607.mp3,the magazine was formerly headquartered in greensboro north carolina,5.0760000000000005
files/clips/common_voice_en_37553551.mp3,this primary contradiction has plagued mankind for millennia,5.22
files/clips/common_voice_en_37395164.mp3,it is one of seven fairfield townships statewide,4.176
files/clips/common_voice_en_37365970.mp3,in practice the atmospheric extinction and dust reduces this number somewhat,8.1
files/clips/common_voice_en_37868068.mp3,bonfires burst out in all in parts of the frame,4.86
files/clips/common_voice_en_37693317.mp3,it is published by the alpha newspapers group on wednesdays,4.896
files/clips/common_voice_en_37386459.mp3,a trustee board provides strategic direction and vision for the organisation,5.04
files/clips/common_voice_en_37360775.mp3,she subsequently wed actor frank lawton with whom she remained married until his death,7.956
files/clips/common_voice_en_37428239.mp3,two laymen were martyred along with them,5.4
files/clips/common_voice_en_37807124.mp3,she was a castaway on the pagong tribe,5.0760000000000005
files/clips/common_voice_en_37338161.mp3,this meant that the traveller would not be discovered with any medication,5.6160000000000005
files/clips/common_voice_en_37564483.mp3,we can hardly doubt that the period was determined by astronomical considerations,6.9479999999999995
files/clips/common_voice_en_37372328.mp3,we always have a good time together and this was no exception commented williams,5.0760000000000005
files/clips/common_voice_en_37373069.mp3,the adjacent village of cusop lies on the english side of the dulas brook,7.416
